Tapad,"Full-Time, Onsite: NYC or Oslo | $100K - $175K/YR Base + BonusTapad is known for inventing and introducing the Tapad Device Graph™ to the industry. At the heart of it, we dig data.Tapad's Open Source/Cutting-edge tech stack:___________________________________________Distributed Applications... Scala, PythonDistributed Computing... Google Cloud, BigQuery, DataProc, DataFlow,Open Source Technologies… Kafka, Zookeeper, Spark___________________________________________Here are our open roles in Engineering:VP of Data Science (NYC): https://grnh.se/a946f4751Senior Software Engineer- CDP (NYC): https://grnh.se/b01f20011Senior Data Scientist (NYC): https://grnh.se/bf31f4471Senior Software Engineer - Device Graph (NYC): https://grnh.se/7d023cae1Senior JavaScript Engineer (NYC): https://grnh.se/0fc1f1481Senior Software Engineer (Oslo): https://grnh.se/dec6f6ef1Software Engineer in Test (NYC): https://grnh.se/2c0d67e71Software Engineer- Device Graph (NYC): https://grnh.se/ac536dc11Software Engineer (Oslo): https://grnh.se/0fc1f1481Senior Quantitative Analyst (NYC): https://grnh.se/2090bc971Lead PMO (NYC): https://grnh.se/7448c6981"
HealthPrize,"Frontend Engineer | REMOTE or NYC, Norwalk, CT | Full-time | https://healthprize.comAt HealthPrize, we are changing the way people think about their medication and their health! Our growth is being fueled by work with leading brands in life sciences such as Abbott, Walgreens, and Gilead. Join the close-knit engineering team that designs & develops our industry leading patient engagement platform and work with us to measurably improve the state of healthcare globally.Platform Hypewords: React, Redux, TypeScript, Slate, Downshift, ...Frontend Engineer: https://healthprize.recruiterbox.com/jobs/fk0fiwk?source=Hac...
                      
                      reply"
Citrusbyte,"Front End Engineer | Back End Engineer | Software Architect | Designer | Full - Time, Remote + BenefitsCitrusbyte is a team of experts steeped in the theory and practice of mathematics and computer science. This is the the core of our iterative, hypothesis-driven process. We are craftspeople who build amazing products for some of the largest global household names. We believe in cultivating a high degree of leadership and technical excellence in all of our team members. Together we build applications that solve our customers' business-critical problems.While we have offices in LA and New York, we work remotely with team members around the world.Experienced Front End Engineer: https://bit.ly/2BcsXl2
Experienced Back End Engineer Java/React : https://bit.ly/2UzEDqJ
Solutions Architect: https://bit.ly/2EdRfhI
Product Designer: https://bit.ly/2QJI7IlTo view all of our roles, please visit: https://citrusbyte.applytojob.com/applyI would love to answer any questions. Please email kristen 
 dot williams at citrusbyte dot com
                      
                      reply"
Managed by Q,"http://managedbyq.com | NYC | Onsite | Full-time | Engineering Managers, Software Engineers, Product Managers, Product Manager Lead, Engineering Interns (Summer 2019) Managed by Q is the platform for office management. We make it easy to run an office by connecting office managers to vendor who can fulfill orders in a wide array of categories like cleaning, maintenance, staffing and more.
We're looking for engineers and engineering managers who are interested in joining our ~24-person team of fast-moving, empathetic, and driven engineers.I'm an engineer at MBQ - feel free to email me directly at jsilver@<our domain> if you have any questions!"
SAY,"NYC | Full-Time | 120k - 180k + equity | https://say.comSAY is democratizing shareholder voting, an industry that has gone without disruption for too long. Empowering shareholders to make a change in the companies they own is no easy task, so we need some engineering talent to help fill out our team!Engineering lead, backend, frontend and iOS engineers all wanted. Check out our job listings here: https://jobs.lever.co/sayOur stack: python, django, react, docker, kubernetes, postgres, iosFeel free to reach out to hn [at] say [dot] com or apply directly through our job listings."
Full Stack Developer - re# studio,"NYC or REMOTE | Freelance/Hourly
Backend Developer - re# studio | ONSITE NYC preferred, REMOTE considered| Freelance/HourlyWe are a development studio working on fun projects for both startups and big companies. New learnings, new stacks, new challenges all the time. We are always looking to work with great developers of all experience levels, and have had a lot of fun working with people we have met here on HN over the years.Right now we are excited to find a Backend Developer strong with Python (Django) experience to work on a new product which is being built from the ground up. This would be a 3-6 month project with ongoing potential work.We are also looking for freelance Full Stack developers strong with react and react-native to contribute to various projects.Part-time and/or remote would be considered for the right people.Process is straight forward: - Brief intro call - Code challenge - DecisionPlease provide resume and desired compensation/salary via email to info at rehashstudio.com
                      
                      reply"
UrbanLogiq,"https://www.urbanlogiq.com | FT On-site Senior Software Engineer | FT On-site Software Engineer, Product | Vancouver, CanadaUrbanLogiq, a venture-backed startup with offices in Vancouver and New York, and graduate of the 500 Startups program, has a mission to help governments and public servants unlock the insights hidden in their data to help build better communities..Our cloud-based platform aggregates existing disparate data sources, automates key workflows found in government, augments existing data sources with complementary and supplementary data streams, and provides analytics to give planners and engineers a more complete and thorough view of the situations they need to make decisions on. From small cities, like the City of Delta, to large cities, like the City of San Jose, to regional levels like the Province of British Columbia, our goal is to bring actionable intelligence to all levels of government regardless of size.More details on these particular positions can be found here:Senior Software Engineer - https://urbanlogiq.breezy.hr/p/6099b41b81f7-senior-software-...Software Engineer, Product - https://urbanlogiq.breezy.hr/p/6cf22c91536c-software-enginee..."
Offchain Labs,"ONSITE (NYC) preferred. REMOTE for exceptional candidates | https://offchainlabs.com/Offchain Labs, Inc. is a venture funded New York based startup, building the Arbitrum platform to unlock the full potential of smart contracts, making them private, cheap, and easy for developers. Our working prototype of Arbitrum runs on top of Ethereum, and interoperates with native Ethereum contracts and tokens.Arbitrum's core technology was developed by its founders, a Princeton professor and two Princeton PhD students, and their paper was published at USENIX Security, a top tier academic conference. For more information about our company, our founders, and our technology, visit our website at https://offchainlabs.com.We’re particularly interested in developers with experience in one or more of the following areas:* Compilers and Architecture* SDK Development* Security EngineeringSoftware Developers: https://offchainlabs.com/jobs/software_developer.htmlDeveloper Relations: https://offchainlabs.com/jobs/developer_relations.htmlTo apply, please send your resume to jobs@offchainlabs.com"
MOKA Analytics,"Multiple Positions | New York, NY | Full-time | ONSITEJunior Front-End Software Engineer | Full-time | ONSITE | Immediate | $80-120K | 0-2% Equity | BenefitsSenior Front-End Software Engineer | Full-time | ONSITE | Immediate | $120-160K | 0-2% Equity | BenefitsSenior Back-End Software Engineer | Full-time | ONSITE | Immediate | $130-200K | 0-2% Equity | BenefitsData Integration Engineer (Informatica) | Full-time | ONSITE | Immediate | $80-130K | 0-1% Equity | BenefitsOur product blends AI with an intuitive UX to transform how executives identify and capture business opportunities. We were founded 2 years ago by McKinsey and Bridgewater Associates alumni. Since then, we've already become the official strategic planning tool at one of the world's largest beverage companiesFront-end: we're looking for an engineers who thrive on building intuitive UX for understanding complex information and exploring possible outcomes.Back-end: we're looking for an engineer to help us build out our framework for creating/modifying high-performance data stores on-the-fly.Our application stack is Python 3 + Django + React + Redux + D3 + custom analytics engineIf you're excited about solving engineering challenges in a business context, email me (the head of engineering) with your resume and a short introduction at todd@moka.nyc"
Patreon,"Security Operations Engineer/Senior Software Engineer, Fraud | ONSITE SF or NYC | Full time | VISAPatreon is a membership platform gets creators paid. Fans send their favorite creators (think podcasts, YouTubers, musicians) money every month to get exclusive content. Join our security team at a company that puts security as one of its core differentiators.We have two open role at the moment:Security Operations Engineer* Build security monitoring, detection, and alerting infrastructure* Design secure first building blocks for our engineers* Great role for someone in devops/SRE looking to move into securityhttps://grnh.se/44bdef481Senior Software Engineer, Fraud* Lead and contribute to the development and design of our Fraud and Risk platform, and tools working with and mentoring other team members.* Develop systems to gather signals from payment and identity data providers, to distinguish fraudulent activity from legitimate.* Manage scale & reliability. Maintaining Patreon Fraud Platform at scale requires constant investment in security, reliability and monitoring tools.https://boards.greenhouse.io/patreon/jobs/1296515Or email security -at- patreon.com."
